date               ,open  ,high  ,low   ,close
2018-08-01 20:00:00,67.52 ,67.52 ,67.52 ,67.52
2018-08-02 14:00:00,66.095,66.35 ,65.735,65.755
2018-08-02 15:00:00,65.755,66.175,65.755,66.1
2018-08-02 16:00:00,66.1  ,66.38 ,66.075,66.235
2018-08-02 17:00:00,66.25 ,66.365,66.22 ,66.34
2018-08-02 18:00:00,66.34 ,66.34 ,66.15 ,66.16
2018-08-02 19:00:00,66.16 ,66.195,66.12 ,66.125
2018-08-02 20:00:00,66.125,66.125,66.125,66.125
2018-08-03 14:00:00,66.125,66.35 ,66.0  ,66.22
2018-08-03 15:00:00,66.175,66.395,66.125,66.15
2018-08-03 16:00:00,66.135,66.325,66.135,66.225
2018-08-03 17:00:00,66.225,66.245,66.185,66.2
2018-08-03 18:00:00,66.2  ,66.25 ,66.16 ,66.175
2018-08-03 19:00:00,66.175,66.32 ,66.165,66.315
2018-08-03 20:00:00,66.315,66.315,66.315,66.315
2018-08-06 14:00:00,66.04 ,66.4  ,65.99 ,66.4
2018-08-06 15:00:00,66.4  ,66.41 ,66.26 ,66.355
2018-08-06 16:00:00,66.355,66.375,66.3  ,66.305
2018-08-06 17:00:00,66.29 ,66.29 ,66.135,66.14
2018-08-06 18:00:00,66.13 ,66.3  ,66.1  ,66.285
2018-08-06 19:00:00,66.285,66.285,66.16 ,66.185
2018-08-06 20:00:00,66.185,66.185,66.185,66.185
2018-08-07 14:00:00,67.365,67.445,67.245,67.35
2018-08-07 15:00:00,67.35 ,67.35 ,67.06 ,67.085
2018-08-07 16:00:00,67.085,67.085,67.015,67.08
2018-08-07 17:00:00,67.08 ,67.09 ,67.01 ,67.01
2018-08-07 18:00:00,67.01 ,67.01 ,66.84 ,66.84
2018-08-07 19:00:00,66.84 ,66.94 ,66.825,66.905
2018-08-07 20:00:00,66.905,66.905,66.905,66.905
2018-08-08 14:00:00,66.965,67.2  ,66.905,67.095
2018-08-08 15:00:00,67.105,67.155,66.87 ,66.885
2018-08-08 16:00:00,66.875,66.89 ,66.74 ,66.8
2018-08-08 17:00:00,66.8  ,67.08 ,66.79 ,67.08
2018-08-08 18:00:00,67.08 ,67.12 ,67.06 ,67.09
2018-08-08 19:00:00,67.09 ,67.275,67.09 ,67.245
2018-08-08 20:00:00,67.245,67.245,67.245,67.245
2018-08-09 14:00:00,66.005,66.205,66.005,66.07
2018-08-09 15:00:00,66.07 ,66.115,65.8  ,65.8
2018-08-09 16:00:00,65.8  ,65.825,65.72 ,65.815
2018-08-09 17:00:00,65.815,65.85 ,65.77 ,65.84
2018-08-09 18:00:00,65.84 ,65.84 ,65.72 ,65.72
2018-08-09 19:00:00,65.75 ,65.805,65.685,65.735
2018-08-09 20:00:00,65.735,65.735,65.735,65.735
2018-08-10 14:00:00,64.735,64.87 ,64.43 ,64.565
2018-08-10 15:00:00,64.565,64.75 ,64.44 ,64.63
2018-08-10 16:00:00,64.63 ,64.67 ,64.585,64.66
2018-08-10 17:00:00,64.66 ,64.69 ,64.57 ,64.64
2018-08-10 18:00:00,64.64 ,64.75 ,64.64 ,64.74
2018-08-10 19:00:00,64.74 ,64.91 ,64.69 ,64.835
2018-08-10 20:00:00,64.835,64.835,64.835,64.835
2018-08-13 14:00:00,64.62 ,64.695,64.605,64.635
2018-08-13 15:00:00,64.635,64.72 ,64.395,64.4
2018-08-13 16:00:00,64.4  ,64.4  ,64.095,64.14
2018-08-13 17:00:00,64.13 ,64.22 ,64.03 ,64.18
2018-08-13 18:00:00,64.18 ,64.405,64.18 ,64.395
2018-08-13 19:00:00,64.395,64.395,64.125,64.13
2018-08-13 20:00:00,64.13 ,64.13 ,64.13 ,64.13
2018-08-14 14:00:00,64.115,64.155,63.87 ,64.07
2018-08-14 15:00:00,64.07 ,64.07 ,63.65 ,63.665
2018-08-14 16:00:00,63.645,63.695,63.56 ,63.62
2018-08-14 17:00:00,63.62 ,63.7  ,63.57 ,63.7
2018-08-14 18:00:00,63.7  ,63.725,63.63 ,63.63
2018-08-14 19:00:00,63.63 ,63.765,63.63 ,63.685
2018-08-14 20:00:00,63.685,63.685,63.685,63.685
2018-08-15 14:00:00,62.26 ,62.27 ,61.64 ,61.635
2018-08-15 15:00:00,61.61 ,62.27 ,61.61 ,62.09
2018-08-15 16:00:00,62.08 ,62.18 ,61.995,62.17
2018-08-15 17:00:00,62.17 ,62.21 ,62.0  ,62.19
2018-08-15 18:00:00,62.19 ,62.19 ,61.99 ,62.13
2018-08-15 19:00:00,62.19 ,62.345,62.165,62.235
2018-08-15 20:00:00,62.235,62.235,62.235,62.235
2018-08-16 14:00:00,62.235,62.235,62.235,62.235
2018-08-16 15:00:00,62.235,62.235,62.235,62.235
2018-08-16 16:00:00,62.235,62.235,62.235,62.235
2018-08-16 17:00:00,62.235,62.235,62.235,62.235
2018-08-16 18:00:00,62.235,62.235,62.235,62.235
2018-08-16 19:00:00,62.235,62.235,62.235,62.235
2018-08-16 20:00:00,62.235,62.235,62.235,62.235
2018-08-17 14:00:00,62.7  ,62.71 ,62.59 ,62.67
2018-08-17 15:00:00,62.67 ,63.0  ,62.67 ,62.98
2018-08-17 16:00:00,62.98 ,63.02 ,62.87 ,62.925
2018-08-17 17:00:00,62.925,63.025,62.89 ,63.005
2018-08-17 18:00:00,63.0  ,63.36 ,63.0  ,63.335
2018-08-17 19:00:00,63.335,63.335,63.19 ,63.195
2018-08-17 20:00:00,63.195,63.195,63.195,63.195
2018-08-20 14:00:00,63.52 ,63.83 ,63.52 ,63.66
2018-08-20 15:00:00,63.66 ,63.79 ,63.525,63.66
2018-08-20 16:00:00,63.66 ,63.82 ,63.66 ,63.82
2018-08-20 17:00:00,63.82 ,63.835,63.765,63.795
2018-08-20 18:00:00,63.795,63.86 ,63.745,63.86
2018-08-20 19:00:00,63.86 ,63.93 ,63.84 ,63.85
2018-08-20 20:00:00,63.85 ,63.85 ,63.85 ,63.85
2018-08-21 14:00:00,64.485,64.595,64.42 ,64.53
2018-08-21 15:00:00,64.53 ,64.56 ,64.35 ,64.525
2018-08-21 16:00:00,64.525,64.53 ,64.43 ,64.53
2018-08-21 17:00:00,64.53 ,64.53 ,64.44 ,64.475
2018-08-21 18:00:00,64.475,64.57 ,64.38 ,64.38
2018-08-21 19:00:00,64.38 ,64.38 ,64.215,64.29
2018-08-21 20:00:00,64.29 ,64.29 ,64.29 ,64.29
2018-08-22 14:00:00,65.16 ,65.42 ,65.05 ,65.28
2018-08-22 15:00:00,65.3  ,65.315,65.135,65.15
2018-08-22 16:00:00,65.15 ,65.16 ,65.13 ,65.135
2018-08-22 17:00:00,65.135,65.135,65.07 ,65.07
2018-08-22 18:00:00,65.07 ,65.15 ,65.02 ,65.02
2018-08-22 19:00:00,65.02 ,65.19 ,65.005,65.03
2018-08-22 20:00:00,65.03 ,65.03 ,65.03 ,65.03
2018-08-23 14:00:00,65.295,65.395,65.185,65.34
2018-08-23 15:00:00,65.315,65.33 ,65.01 ,65.01
2018-08-23 16:00:00,65.0  ,65.135,64.985,65.125
2018-08-23 17:00:00,65.125,65.125,64.925,64.925
2018-08-23 18:00:00,64.935,64.945,64.855,64.875
2018-08-23 19:00:00,64.875,64.915,64.83 ,64.885
2018-08-23 20:00:00,64.885,64.885,64.885,64.885
2018-08-24 14:00:00,65.81 ,66.045,65.81 ,65.935
2018-08-24 15:00:00,65.935,66.005,65.8  ,65.845
2018-08-24 16:00:00,65.85 ,65.855,65.64 ,65.655
2018-08-24 17:00:00,65.655,65.69 ,65.475,65.575
2018-08-24 18:00:00,65.575,65.575,65.5  ,65.55
2018-08-24 19:00:00,65.56 ,65.62 ,65.49 ,65.595
2018-08-24 20:00:00,65.595,65.595,65.595,65.595
2018-08-27 14:00:00,66.105,66.145,65.965,66.08
